product_name,product_link,product_desc,product_price
MiniX NEO X5 Android Jelly Bean Smart TV Box - Revolutionary Smart Media Hub,/Product-Detail/MiniX_NEO_X5,"Revolutionary smart media hub based on a Dual-Core ARM Cortex-A9 processor with 
Quad- Core Mali-400 GPU and the latest Android Jelly Bean 4.1.1 OS. NEO X5 redefines the concept of personal 
computing, providing an interactive media experience like never before. NEO X5 is a stylish portable media hub with infinite possibilities and uses. It is an immensely 
powerful device capable of playing the latest Android computer games, streaming HD movies and TV shows, 
browsing the web, video chat, listening to internet radio and much more. Comes with Ethernet, Bluetooth and Wi-Fi connectivity; allowing you to share media content, 
such as videos, music, photos, across devices on the same network.","4,199"
Viewpaker ViewPlus E221SM12-D AIO Barebone 21.5inch FHD LED Backlit Display,/Product-Detail/viewpaker_e221sm12-d,"Panel 21.5"" LED Backlight, / 180 cd/m2 (typ.) / 1000:1(typ.) / 1920*1080 / 16:9","9,495"
"Asus VivoStick PC (TS10-B146D) Atom x5-Z8350 CPU, 2GB RAM, 32GB eMMC, Win10",/Product-Detail/Asus_VivoStick_PC_TS10,Intel Atom Quad Core X5-Z8350 Processor | 2GB LPDDR3 Memory | 32GB EMMC Storage | Intel HD Graphics | 1 x HDMI | 802.11AC WiFi + BT | Windows 10 Home,"9,990"
INTEL NUC12 PRO Intel Core i3-1220P BAREBONE KIT (NUC12WSHI30001),/Product-Detail/intel_nuc12-pro-intel-core-i3-1220p-barebone-kit-nuc12wshi30001,"Intel NUC Kit with 12th Generation Intel Core Processors | Intel Core i3-1220P Processor (12M Cache, up to 4.40 GHz) | Supported Operating Systems Windows 11 Home, Windows 11 Pro, Windows 10 Home, Windows 10 IoT Enterprise, Windows 10 Pro, Red Hat Linux, Ubuntu 20.04 LTS | Total Cores: 10 | Total Threads: 12 | Max Turbo Frequency: 4.40 GHz | Launch Date: Q3'22 | TDP 20 W | DC Input Voltage Supported 12-20 VDC","18,499"
Acer XC-830 | Pentium Silver J5040 | 4GB DDR4 | 1TB HDD | Intel UHD Graphics 605 | Win10,/Product-Detail/acer_xc-830--pentium-silver-j5040--4gb-ddr4--1tb-hdd--intel-uhd-graphics-605-,"Intel Pentium Silver Processor J5040 (2.0GHz Base Frequency; 3.2GHz Burst Frequency, Quad Core) | 4GB DDR4 2400 MHz soDIMM | 1TB  3.5-inch 7200 RPM HDD | Intel UHD Graphics 605 | Windows 10 Home /Tower Only","19,999"
Lenovo IdeaCentre 3i 07IMB05 90NB009DPH | Pentium Gold | Intel Graphics 610 | 4GB DDR4 | 128GB SSD + 1TB HDD | Win 10,/Product-Detail/lenovo_ideacentre-3i-07imb05-90nb009dph,"90NB009DPH | Intel Pentium Gold G6400 (2C / 4T, 4.0GHz, 4MB) | Integrated Intel UHD Graphics 610 | Intel B460 | 4GB UDIMM DDR4-2933 | 128GB SSD m.2 2242 PCIe NVMe + 1TB HDD 7200rpm 3.5"" | Windows 10","25,995"
Intel NUC Kit with 11th Generation Intel Core Processors NUC11PAHi5,/Product-Detail/intel_nuc-kit-with-11th-generation-intel-core-processors-nuc11pahi5,"Intel NUC 11 Performance kit - NUC11PAHi5 | Supported Operating Systems
Windows 11, 64-bit*, Windows 10, 64-bit* | Board Form Factor: UCFF (4"" x 4"") | Socket:  Soldered-down BGA | Internal Drive Form Factor:  M.2 and 2.5"" Drive | # of Internal Drives Supported 2 | Lithography:  10 nm SuperFin | TDP 40 W | DC Input Voltage Supported:  19 VDC","26,499"
Lenovo IdeaCentre 3i 07IAB7 90SM0019PH with Lenovo L22i-30 Monitor Pentium Gold G7400/4GB RAM/256GB SSD/ UHD Graphics 710/Win11,/Product-Detail/lenovo_ideacentre-3i-07iab7-90sm0019ph--d19-61e0kar6ww-185in-pentium-gold-g7400,"Lenovo IdeaCentre 3i 07IAB7 90SM0019PH | Intel Pentium Gold G7400 (2C / 4T, 3.7GHz, 6MB) | Integrated Intel UHD Graphics 710 | Intel B660 | 1x 4GB UDIMM DDR4-3200 | 256GB SSD M.2 2280 PCIe 3.0x4 NVMe | WLAN + Bluetooth	11ax, 2x2 + BT5.2 | Windows 11 | Brightness	200 cd/m², Aspect Ratio	16:9, Contrast Ratio 600:1, Connection Type	1 x HDMI 1.4, 1 x VGA","29,995"
Acer Aspire AZ3-700 17.3-in FHD Intel Pentium J3710/4GB/500GB/Windows 10 All in One Desktop,/Product-Detail/Acer_AZ3-700_J3710,"Intel Pentium Processor J3710 (2M Cache, up to 2.64GHz) / 4GB DDR3 SDRAM / 500GB HDD / Integrated Intel HD Graphics / 17.3-inch Full HD 1920 x 1080 Display / Windows 10","29,999"
Huawei MateStation S | PUM-WDH9A | Ryzen 5 4600G | Radeon Graphics | 8GB RAM | 256GB SSD | Win10,/Product-Detail/huawei_matestation-s--pum-wdh9a,PUM-WDH9A | AMD Ryzen 5 4600G | AMD Radeon Graphics | 8GB DDR4 RAM | 256GB M.2 SSD | Windows 10,"30,999"
Acer Aspire Z22-780 Intel Pentium G4560T/4GB/1TB/Windows 10 21.5-inch Multi-touch All in One Desktop,/Product-Detail/Acer_AZ22-780_G4560T,"Intel Pentium Processor G4560T (3M Cache, 2.90 GHz) / 4GB / 1TB / Integrated Intel HD Graphics / 21.5-in LED 1920 x 1080 Multi-touch Display / Windows 10","31,999"
Acer Aspire XC-885 Core i3-8100 4GB|1TB|1GB GT710|21.5-in Monitor|Win10,/Product-Detail/Acer_XC-885_i3-8100,"Intel Core i3-8100 Processor 6M Cache, 3.60 GHz | 4GB DDR4 2666 MHz UDIMM | 1GB NVIDIA GeForce GT 710 | K222HQL 21.5-inch FHD | Windwos 1021.5-in K222HQL","31,999"
Lenovo IdeaCentre 3i 07IAB7 90SM001APH  Core i3-12100/8GB RAM/512GB SSD/UHD Graphics 730/Win11 CPU ONLY,/Product-Detail/lenovo_ideacentre-3i-07iab7-90sm001aph--d22-20-66adkac1ph-215-monitor-core-i3-121008gb,"IdeaCentre 3i 07IAB7 90SM001APH | Intel Core i3-12100, 4C (4P + 0E) / 8T, P-core 3.3 / 4.3GHz, 12MB | Integrated Intel UHD Graphics 730 | Intel B660 | 2x 4GB UDIMM DDR4-3200 | 512GB SSD M.2 2280 PCIe 4.0x4 NVMe | WLAN + Bluetooth	11ax, 2x2 + BT5.2","32,495"
Lenovo IdeaCentre 3i 07IAB7 90SM008EPH w/ L22i-30 21.5inch Monitor |Core i3-12100 |8GB RAM | 256GB SSD |UHD Graphics 730 |WIN11,/Product-Detail/lenovo_ideacentre-3i-07iab7-90sm008eph-w215in-l22i-30-monitor--core-i3-12100--4gb-ram--256gb-ssd--uhd-graphics-730-win11,"Lenovo IdeaCentre 3i 07IAB7 90SM008EPH | 21.5inch L22i-30 Monitor | Intel Core i3-12100, 4C (4P + 0E) / 8T, P-core 3.3 / 4.3GHz, 12MB | 8GB UDIMM DDR4-3200 | 256GB SSD M.2 2280 PCIe 4.0x4 NVMe | Integrated Intel UHD Graphics 730 | Windows 11 Home | Integrated 100/1000M WLAN + Bluetooth 11ax, 2x2 + BT5.1 | L22i-30 21.5inch Monitor","32,995"
INTEL NUC KIT RNUC11PAHI70Z01-99AW86,/Product-Detail/intel_nuc-kit-rnuc11pahi70z01-99aw86-,"Intel Nuc Kit RNUC11PAHI70Z01-99AW86 | Intel Core i7-1165G7 Processor (12M Cache, up to 4.70 GHz) | Max Memory 64GB DDR4-3200 1.2V SO-DIMM | Max Turbo Frequency 4.70 GHz | Graphics Output HDMI 2.0b; USB-C (DP1.4); MiniDP 1.4 | PCI Express Configurations M.2 slot with PCIe X4 lanes | Supported Operating Systems Windows 11, 64-bit, Windows 10, 64-bit","32,999"
"Asus S501MD-0G7400003WS, Intel Pentium G7400, 8GB RAM, 256GB SSD, Win11",/Product-Detail/asus_s501md-0g7400003ws-intel-pentium-g7400-8gb-ram-256gb-ssd-win11-,"ASUS S501MD-0G7400003WS - IntelPentium Gold G7400  3.7GHz (6M Cache, 2 cores) Processor  |  8GB DDR4 Memory  |  256GB M.2 NVMe PCIe 3.0 SSD  |  DVDRW Drive  |  802.11AX WiFi + BT | Win11 with Asus Keyboard & Mouse","34,495"
Acer Aspire GX-281 AMD Ryzen 3 1200/8GB/1TB/2GB GTX 1050/Win10,/Product-Detail/Acer_GX-281_Ryzen_3,AMD Ryzen 3 1200 3.1GHz Proceesor (Max Turbo Core Speed 3.4GHz) / 8GB / 1TB / 2GB NVIDIA GeForce GTX 1050 / Windows 10,"34,999"
